,year,conf_level,Intersection
0,2023,high,No intersection
1,2023,high,No intersection
2,2023,high,No intersection
3,2023,high,No intersection
4,2023,high,No intersection
5,2023,high,No intersection
6,2023,high,No intersection
7,2021,high,No intersection
8,2022,high,No intersection
9,2021,high,No intersection
10,2020,high,No intersection
11,2020,high,No intersection
12,2020,high,No intersection
13,2020,high,No intersection
14,2024,low,No intersection
15,2022,high,No intersection
16,2020,high,No intersection
17,2020,high,No intersection
18,2020,high,No intersection
19,2020,high,No intersection
20,2022,high,No intersection
21,2020,high,No intersection
22,2020,high,No intersection
23,2020,high,No intersection
24,2022,high,No intersection
25,2020,high,No intersection
26,2023,high,No intersection
27,2023,high,No intersection
28,2023,high,No intersection
29,2023,high,No intersection
30,2023,high,No intersection
31,2023,high,No intersection
32,2023,high,No intersection
33,2023,high,No intersection
34,2023,high,No intersection
35,2022,high,No intersection
36,2023,high,No intersection
37,2023,high,No intersection
38,2023,high,No intersection
39,2023,high,No intersection
40,2023,high,No intersection
41,2023,high,No intersection
42,2023,high,No intersection
43,2020,high,No intersection
44,2023,high,No intersection
45,2023,high,No intersection
46,2023,high,No intersection
47,2022,high,No intersection
48,2023,high,No intersection
49,2023,high,No intersection
50,2023,high,No intersection
51,2020,high,No intersection
52,2020,high,No intersection
53,2020,high,No intersection
54,2023,high,No intersection
55,2023,high,No intersection
56,2023,high,No intersection
57,2023,high,No intersection
58,2023,high,No intersection
59,2023,high,No intersection
60,2023,high,No intersection
61,2023,high,No intersection
62,2020,high,No intersection
63,2020,high,No intersection
64,2020,high,No intersection
65,2023,high,No intersection
66,2023,high,No intersection
67,2023,high,No intersection
68,2023,high,No intersection
69,2023,high,No intersection
70,2023,high,No intersection
71,2023,high,No intersection
72,2023,high,No intersection
73,2023,high,No intersection
74,2020,high,No intersection
75,2024,low,No intersection
76,2023,high,No intersection
77,2023,high,No intersection
78,2023,high,No intersection
79,2023,high,No intersection
80,2023,high,No intersection
81,2023,high,No intersection
82,2023,high,No intersection
83,2023,high,No intersection
84,2023,high,No intersection
85,2020,high,No intersection
86,2023,high,No intersection
87,2023,high,No intersection
88,2023,high,No intersection
89,2023,high,No intersection
90,2023,high,No intersection
91,2023,high,No intersection
92,2023,high,No intersection
93,2023,high,No intersection
94,2023,high,No intersection
95,2023,high,No intersection
96,2023,high,No intersection
97,2023,high,No intersection
98,2023,high,No intersection
99,2023,high,No intersection
100,2023,high,No intersection
101,2023,high,No intersection
102,2023,high,No intersection
103,2023,high,No intersection
104,2023,high,No intersection
105,2023,high,No intersection
106,2023,high,No intersection
107,2023,high,No intersection
108,2023,high,No intersection
109,2023,high,No intersection
110,2023,high,No intersection
111,2023,high,No intersection
112,2023,high,No intersection
113,2023,high,No intersection
114,2023,high,No intersection
115,2023,high,No intersection
116,2020,high,No intersection
117,2023,high,No intersection
118,2023,high,No intersection
119,2023,high,No intersection
120,2022,high,No intersection
121,2022,high,No intersection
122,2023,high,No intersection
123,2023,high,No intersection
124,2020,high,No intersection
125,2023,high,No intersection
126,2023,high,No intersection
127,2023,high,No intersection
128,2022,high,No intersection
129,2023,high,No intersection
130,2023,high,No intersection
131,2022,high,No intersection
132,2023,high,No intersection
133,2023,high,No intersection
134,2024,low,No intersection
135,2022,high,No intersection
136,2021,high,No intersection
137,2021,high,No intersection
138,2021,high,No intersection
139,2020,high,No intersection
